label,name,status,error,skill,speed,delay_ms,seed,dt,motor_curve,voltage,moving_speed,flight_s,jump,running,motion_failed,settled,peak_ground_force,peak_torque,limit_excess,camera_yaw_rms,camera_pitch_rms
source,jump_v0.6_d15_s103_dt0.00125_curve0_V12.6,COMPLETE,,jump,0.6,15,103,0.00125,False,12.6,-0.019666940663224268,0.0,False,False,False,True,31.9079298078136,0.6,0.0,0.5698302360774228,1.5174681491615367
source_stress,run_v0.6_d10_s101_dt0.00125_curve0_V12.6,COMPLETE,,run,0.6,10,101,0.00125,False,12.6,0.3040647488053609,0.0,False,False,False,True,42.31881885701148,0.6,0.0,0.5332604149508141,1.5451581274859345
source_stress,run_v0.6_d10_s104_dt0.000625_curve0_V12.6,COMPLETE,,run,0.6,10,104,0.000625,False,12.6,0.30371002704890593,0.0,False,False,False,True,40.81383388838769,0.6,0.0,0.40205491340766175,1.4679274928363368
source_stress,run_v0.6_d10_s104_dt0.00125_curve1_V11.1,COMPLETE,,run,0.6,10,104,0.00125,True,11.1,0.2966790409700888,0.0,False,False,False,True,43.19567048653391,0.6,0.0,0.6574742852689237,1.4621812637692675
source_stress,run_v0.6_d10_s104_dt0.00125_curve1_V9.9,COMPLETE,,run,0.6,10,104,0.00125,True,9.9,0.29097459859601543,0.0,False,False,False,True,41.01995903294412,0.6,0.0,0.5600709273087829,1.429902311647152
source_stress,run_v0.6_d10_s104_dt0.00125_curve0_V12.6__feedback40,COMPLETE,,run,0.6,10,104,0.00125,False,12.6,0.28784796337786434,0.0,False,False,False,True,41.57340257828977,0.6,0.0,0.5380383731978631,1.3632972387610869
source_stress,run_v0.6_d10_s104_dt0.00125_curve0_V12.6__low_friction,COMPLETE,,run,0.6,10,104,0.00125,False,12.6,0.29541351294114854,0.0,False,False,False,True,44.453968079169236,0.6,0.0,0.33365956108241257,1.519182979644103
source_stress,run_v0.6_d10_s104_dt0.00125_curve0_V12.6__head_carrier_plus10pct,COMPLETE,,run,0.6,10,104,0.00125,False,12.6,0.3219234570336861,0.0,False,False,False,True,43.23786473440283,0.6,0.0,0.46072656099039155,1.5004716244936742
source_stress,run_v0.6_d10_s104_dt0.00125_curve0_V12.6__feedback_drop2pct,COMPLETE,,run,0.6,10,104,0.00125,False,12.6,0.3047001392194359,0.0,False,False,False,True,40.91844549727767,0.6,0.0,0.40263535920154725,1.4628441836948645
source_stress,jump_v0.6_d10_s101_dt0.00125_curve0_V12.6,COMPLETE,,jump,0.6,10,101,0.00125,False,12.6,-0.022785530932716028,0.0,False,False,False,True,33.461790104301876,0.6,0.0,0.6607712236357033,1.339986830742349
